#stn,X,Y,Z,ReceiverName,AntennaName,ClockType
DAV100ATA,486854.4996,2285099.3657,-5914955.7712,SEPT POLARX5,LEIAR25.R3,INTERNAL
DEAR00ZAF,5017617.2841,2233214.7864,-3234696.1991,TRIMBLE NETRS,ASH701941.B,INTERNAL
DGAR00GBR,1916269.343,6029977.689,-801719.821,SEPT POLARX5,ASH701945E_M,INTERNAL
DHLG00USA,-2319099.26,-4799846.5,3490090.45,TPS NET-G3A,TPSCR.G3,INTERNAL
DJIG00DJI,4583086.1415,4250982.5036,1266243.0645,SEPT POLARX5,TRM59800.00,INTERNAL
DLF100NLD,3924697.942,301124.893,5001905.154,TRIMBLE NETR9,LEIAR25.R3,EXTERNAL CESIUM
DLTV00VNM,-1978879.097,5920511.651,1311808.34,TRIMBLE NETR9,JAVRINGANT_DM,INTERNAL
DRAG00ISR,4432980.662,3149432.093,3322110.441,JAVAD TRE_3 DELTA,ASH700936D_M,INTERNAL
DRAO00CAN,-2059164.682,-3621108.388,4814432.366,SEPT POLARX5,TRM59800.00,EXTERNAL H-MASER
DUBO00CAN,-417603.6,-4064529.8,4881432.16,SEPT POLARX5,AOAD/M_T,EXTERNAL RUBIDIUM SYMMETRICOM
DUMG00ATA,-1940884.0,1628468.0,-5833720.0,LEICA GR25,LEIAR25.R4,INTERNAL
DUND00NZL,-4388121.17,726671.05,-4556535.63,TRIMBLE ALLOY,TRM115000.00,INTERNAL
DYNG00GRC,4595220.0183,2039434.0941,3912625.9902,TRIMBLE NETR9,TRM59800.00,INTERNAL
EBRE00ESP,4833520.0,41536.0,4147461.0,LEICA GR50,LEIAR25.R4,INTERNAL
EIL300USA,-2296304.083,-1484805.898,5743078.376,ITT 3750300,TPSCR.G5,EXTERNAL CESIUM /RCVR 1
EIL400USA,-2296304.083,-1484805.898,5743078.376,ITT 3750300,TPSCR.G5,EXTERNAL CESIUM /RCVR 2
ENAO00PRT,4375732.1533,-2329166.8136,4000238.2806,JAVAD TRE_3,JAVRINGANT_G5T,INTERNAL
EPRT00USA,1768544.556,-4164839.445,4480190.419,LEICA GR50,LEIAR20,INTERNAL
ESCU00CAN,1852954.53,-3937498.76,4647314.64,TRIMBLE NETR9,ASH701945E_M,INTERNAL
EUSM00MYS,-1157029.938,6246367.148,568220.1,TRIMBLE NETR9,JAVRINGANT_DM,INTERNAL
FAA100PYF,-5247393.111,-3076867.223,-1911521.528,SEPT POLARX5,LEIAR25.R4,INTERNAL 
FAIR00USA,-2281621.7717,-1453595.9493,5756961.9444,JAVAD TRE_G3TH DELTA,ASH701945G_M,INTERNAL
FALE00WSM,-6134112.0,-862145.0,-1514975.0,TRIMBLE NETRS,TRM41249.00,INTERNAL
FALK00FLK,2106811.344,-3355170.6666,-4981786.3348,SEPT POLARX5,ASH701945E_M,INTERNAL
FFMJ00DEU,4053455.7,617729.9,4869395.9,JAVAD TRE_3 DELTA,LEIAR25.R3,INTERNAL
FLIN00CAN,-766174.46,-3611375.32,5184056.22,SEPT POLARX5,NOV750.R4,INTERNAL
FLRS00PRT,4221530.01,-2549242.33,4031397.8,LEICA GRX1200GGPRO,LEIAT504GG,INTERNAL
FRDN00CAN,1760543.42,-4080069.4,4560178.6,TPS NET-G3A,TPSCR.G3,INTERNAL
FTNA00WLF,-6178322.4459,-202694.9925,-1566024.4684,TRIMBLE NETR9,TRM59800.00,INTERNAL
FUNC00PRT,5143339.43,-1563412.87,3421191.44,TRIMBLE ALLOY,TRM159900.00,INTERNAL
GAMB00PYF,-4147126.8085,-4152222.1446,-2490033.108,TRIMBLE NETR9,TRM59800.00,INTERNAL
GAMG00KOR,-3191598.0,4096876.0,3691823.0,SEPT POLARX5TR,LEIAR25.R4,INTERNAL
GANP00SVK,3929181.5,1455236.8,4793653.9,TRIMBLE ALLOY,TRM59800.00,INTERNAL
GCGO00USA,-2281621.6297,-1453585.1138,5756964.9518,JAVAD TRE_3 DELTA,JAVRINGANT_DM,INTERNAL
GENO00ITA,4507890.272,707618.974,4441603.008,LEICA GR30,LEIAR20,INTERNAL
GLPS00ECU,-33801.259,-6377516.5276,-82154.3037,JAVAD TRE_G3TH DELTA,ASH701945B_M,INTERNAL
GLSV00UKR,3512889.29,2068980.654,4888903.261,TRIMBLE NETR9,TRM115000.00,INTERNAL
GMSD00JPN,-3607665.4303,4147868.2248,3223717.2617,TRIMBLE NETR9,TRM59800.00,EXTERNAL CESIUM
GODE00USA,1130773.718,-4831253.581,3994200.422,SEPT POLARX5TR,AOAD/M_T,EXTERNAL H-MASER
GODN00USA,1130760.8757,-4831298.688,3994155.1861,JAVAD TRE_3 DELTA,TPSCR.G3,EXTERNAL H2 Maser
GODS00USA,1130752.3046,-4831349.1223,3994098.9504,JAVAD TRE_3 DELTA,JAVRINGANT_DM,EXTERNAL H2 Maser
GODZ00USA,1130773.867,-4831253.583,3994200.409,JPS EGGDT,AOAD/M_T,EXTERNAL H-MASER
GOL200USA,-2353614.316,-4641385.324,3676976.407,ASHTECH UZ-12,AOAD/M_T,EXTERNAL H-MASER
GOLD00USA,-2353614.316,-4641385.3523,3676976.434,JAVAD TRE_G3TH DELTA,AOAD/M_T,EXTERNAL H-Maser 
GOP600CZE,3979319.62,1050311.94,4857064.38,SEPT POLARX5,SEPCHOKE_B3E6,EXTERNAL PASSIVE HYDROGEN MASER
GOP700CZE,3979319.64,1050311.92,4857064.37,TRIMBLE NETR9,SEPCHOKE_B3E6,EXTERNAL PASSIVE HYDROGEN MASER
GOPE00CZE,3979316.134,1050312.478,4857067.108,TRIMBLE ALLOY,TPSCR.G3,EXTERNAL PASSIVE HYDROGEN MASER
GRAC00FRA,4581708.63,556132.23,4389340.93,LEICA GR25,TRM57971.00,INTERNAL
GRAS00FRA,4581690.811,556114.972,4389360.88,TRIMBLE NETR9,ASH701945E_M,INTERNAL
GRAZ00AUT,4194424.124,1162702.46,4647245.193,SEPT POLARX5,LEIAR25.R4,INTERNAL
GUAM00GUM,-5071312.6574,3568363.6347,1488904.402,JAVAD TRE_3 DELTA,JAVRINGANT_DM,INTERNAL
GUAO00CHN,228380.79,4631962.42,4367041.08,ASHTECH UZ-12,ASH701945B_M,EXTERNAL H-MASER
GUAT00GTM,-56063.582,-6174978.67,1596665.267,LEICA GRX1200GGPRO,LEIAR25.R3,INTERNAL
GUUG00GUM,-5070465.249,3576460.234,1472093.785,LEICA GR50,SEPCHOKE_B3E6,INTERNAL
HAL100USA,-5466017.9454,-2404394.6546,2242210.2481,SEPT POLARX5,JAVRINGANT_DM,INTERNAL
HAMD00IRN,3469898.0183,3926741.412,3626961.1469,TRIMBLE NETR9,TRM57971.00,INTERNAL
HARB00ZAF,5084657.615,2670325.2503,-2768481.0274,SEPT POLARX5TR,TRM59800.00,EXTERNAL CESIUM
HERS00GBR,4033471.33,23667.86,4924300.35,SEPT POLARX5TR,LEIAR25.R3,EXTERNAL H-MASER
HERT00GBR,4033461.038,23537.662,4924318.165,LEICA GRX1200GGPRO,LEIAT504GG,INTERNAL
HKSL00HKG,-2393382.414,5393861.187,2412592.401,LEICA GR50,LEIAR25.R4,INTERNAL 
HKWS00HKG,-2430579.004,5374285.676,2418956.331,LEICA GR50,LEIAR25.R4,INTERNAL
HLFX00CAN,2018905.8,-4069070.52,4462415.41,TPS NET-G3A,TPSCR.G3,EXTERNAL RUBIDIUM
HNLC00USA,-5506799.0,-2240050.0,2302720.0,TRIMBLE NETR9,ASH700936D_M,INTERNAL
HNPT00USA,1196626.343,-4846358.5,3956723.115,LEICA GRX1200GGPRO,LEIAX1202GG,INTERNAL
HNUS00ZAF,4973168.8045,1734085.3905,-3585434.1455,TRIMBLE ALLOY,ASH701941.B,INTERNAL
HOB200AUS,-3950071.274,2522415.218,-4311638.512,SEPT POLARX5,AOAD/M_T,EXTERNAL H-MASER
HOFN00ISL,2679689.848,-727951.343,5722788.898,LEICA GR50,LEIAR25.R4,INTERNAL
HOLB00CAN,-2503040.424,-3188233.325,4908701.543,SEPT POLARX5,SEPCHOKE_B3E6,INTERNAL RECEIVER CLOCK
HOLM00CAN,-983063.87,-1867634.52,5998678.91,ASHTECH UZ-12,ASH701945D_M,INTERNAL
HOLP00USA,-2500946.0962,-4670472.9515,3539500.5469,TPS NET-G3A,TPSCR.G3,INTERNAL
HRAG00ZAF,5085418.18,2668226.51,-2768758.21,JAVAD TRE_G3TH DELTA,LEIAR25.R3,EXTERNAL H-MASER
HRAO00ZAF,5085352.597,2668395.992,-2768731.551,JAVAD TRE_G3TH DELTA,ASH701945E_M,EXTERNAL H-MASER
HUEG00DEU,4251963.3,567043.8,4704708.7,JAVAD TRE_3 DELTA,LEIAR25.R4,INTERNAL
HYDE00IND,1208444.8595,5966806.0568,1897076.6227,LEICA GRX1200GGPRO,LEIAT504GG,INTERNAL
IENG00ITA,4476537.4,600431.46,4488761.34,SEPT POLARX4TR,SEPCHOKE_MC,EXTERNAL H-MASER
IISC00IND,1337936.455,6070317.1261,1427876.7852,SEPT POLARX5,ASH701945E_M,INTERNAL
INEG00MEX,-1260435.6709,-5788547.371,2360340.1297,LEICA GR10,LEIAR10,INTERNAL
INVK00CAN,-1628432.02,-1714393.06,5903844.73,TRIMBLE NETR9,ASH701945C_M,INTERNAL
IQAL00CAN,1036001.02,-2631455.56,5697819.69,TPS NET-G3A,TPSCR.G3,INTERNAL
IQQE00CHL,2034208.0,-5629172.0,-2196142.0,TRIMBLE NETR9,ASH700936D_M,INTERNAL 
IRKJ00RUS,-968328.35,3794426.541,5018167.196,JPS LEGACY,JPSREGANT_SD_E1,EXTERNAL H-MASER
IRKM00RUS,-968332.3889,3794425.4087,5018167.7058,JAVAD TRE_G3TH DELTA,AOAD/M_T,EXTERNAL H-MASER
IRKT00RUS,-968332.1608,3794425.4408,5018167.7973,ROGUE SNR-8000,AOAD/M_T,EXTERNAL H-MASER
ISBA00IRQ,3808364.974,3734430.116,3485693.39,TRIMBLE NETR5,TRM57971.00,INTERNAL
ISHI00JPN,-3959648.7541,3296836.3371,3747005.5756,TRIMBLE NETR9,TRM59800.00,EXTERNAL H-MASER
ISPA00CHL,-1881703.507,-5359979.772,-2890599.259,ASHTECH UZ-12,ASH701945E_M,INTERNAL
ISTA00TUR,4208830.46,2334850.14,4171267.18,LEICA GR25,LEIAR25.R4,INTERNAL
IZMI00TUR,4456584.236,2278765.506,3939930.889,TRIMBLE NETR5,TRM55971.00,INTERNAL
JCTW00ZAF,5023564.462,1677795.751,-3542025.865,TRIMBLE NETR9,TRM59800.00,INTERNAL
JFNG00CHN,-2279828.8292,5004706.5483,3219777.4684,TRIMBLE ALLOY,TRM59800.00,INTERNAL
JNAV00VNM,-1626346.47,5730605.79,2271881.48,TRIMBLE NETR9,JAVRINGANT_DM,INTERNAL
JOG200IDN,-2200208.0871,5924895.6273,-855929.2334,JAVAD TRE_G3TH DELTA,JAV_RINGANT_G3T,INTERNAL
JOZ200POL,3664881.0,1409190.0,5009618.0,TRIMBLE NETR9,TRM59800.00,INTERNAL
JOZE00POL,3664940.5,1409153.59,5009571.17,SEPT POLARX5,SEPCHOKE_B3E6,INTERNAL
JPLM00USA,-2493304.6796,-4655215.1032,3565497.5918,SEPT POLARX5,AOAD/M_T,INTERNAL
JPRE00ZAF,5064032.232,2724721.054,-2752950.721,TRIMBLE NETR9,TRM59800.00,INTERNAL
KARR00AUS,-2713832.155,5303935.187,-2269515.197,TRIMBLE NETR9,TRM59800.00,INTERNAL
KAT100AUS,-4147413.524,4581462.781,-1573359.673,SEPT POLARX5,LEIAR25.R3,INTERNAL
KERG00ATF,1406337.0,3918161.0,-4816167.0,TRIMBLE NETR9,ASH701945E_M,INTERNAL
KGNI00JPN,-3941949.165,3368156.343,3702214.825,TRIMBLE NETRS,ASH701945C_M,EXTERNAL H-MASER
KHAR00UKR,3312984.369,2428203.401,4863307.795,NOV OEMV3,NOV702GG,INTERNAL
KIR000SWE,2248123.504,865686.533,5886425.594,SEPT POLARX5,JNSCR_C146-22-1,INTERNAL
KIR800SWE,2248127.371,865685.468,5886424.301,TRIMBLE ALLOY,LEIAR25.R3,INTERNAL
KIRI00KIR,-6327822.4922,785604.1018,149769.0463,TRIMBLE NETR9,TRM59800.00,INTERNAL
KIRU00SWE,2251420.999,862817.095,5885476.564,SEPT POLARX5,SEPCHOKE_B3E6,EXTERNAL CESIUM
KIT300UZB,1944944.8306,4556652.418,4004326.1235,SEPT ASTERX4,SEPCHOKE_B3E6,INTERNAL
KITG00UZB,1944879.726,4556783.77,4004205.937,SEPT POLARX5,TRM59800.00,INTERNAL
KMNM00TWN,-2761837.8555,5110347.1476,2625150.8677,TRIMBLE ALLOY,TPSCR3_GGD,INTERNAL
KOKB00USA,-5543838.3609,-2054586.6103,2387810.1225,SEPT POLARX5TR,ASH701945G_M,EXTERNAL H-MASER
KOKV00USA,-5543838.3609,-2054586.6103,2387810.1225,JAVAD TRE_G3TH DELTA,ASH701945G_M,EXTERNAL H-MASER
